DOI,atom,cavity,circuit,coherence,computation,control,couple,decoherence,detection,dynamic,entanglement,environment,error,excitation,experiment,fidelity,field,gate,information,interaction,ion,laser,level,measurement,mode,noise,number,parameter,phase,photon,process,pulse,quantum,quantum bit,quantum computing,quantum gate,quantum state,quantum system,qubit,scheme,source,spin,state,surface,transition,trap,trapped ion
10.1038/nature11120,0.0,5.08,0.0,0.0,0.0,3.04,4.56,0.0,0.0,0.0,2.49,0.0,0.0,0.0,1.76,1.33,0.0,0.0,1.21,1.63,1.6,0.0,1.83,0.0,0.0,0.0,0.0,2.07,2.75,5.48,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.06,0.0,0.0,0.0,3.24,0.0,3.39,0.0,0.06
10.1038/NMAT3182,0.0,0.0,0.0,9.5,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,1.21,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.06,0.0,2.07,14.7,0.81,0.0,1.69,0.0,0.06
10.1103/PhysRevLett.108.260503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,1.76,0.0,0.0,4.41,1.21,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.9,0.0,2.75,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.06
10.1007/s00340-011-4807-6,0.0,0.0,0.0,1.9,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,1.33,1.03,0.0,1.21,0.0,2.41,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.06,0.0,2.07,2.94,1.22,0.0,0.0,5.5,0.06
10.1103/PhysRevLett.109.103601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.76,6.09,0.0,0.0,2.66,0.0,0.88,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.18,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.06
10.1103/PhysRevLett.109.020503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,1.33,0.0,4.41,0.0,0.0,0.8,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.06
10.1140/epjd/e2012-20576-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,1.25,0.0,0.0,0.0,0.0,0.0,1.03,0.0,9.66,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,1.71,0.0,0.0,0.0,1.9,0.0,0.12,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.06
10.1007/s00340-012-4882-3,0.0,0.0,0.0,0.0,0.0,1.52,1.52,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,1.63,1.6,1.52,0.0,0.0,3.27,0.0,0.0,2.07,0.0,0.0,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0
10.1007/s10773-013-1646-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.88,0.0,0.0,2.41,1.52,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,1.76,0.0,0.0,0.0,0.0,0.12,6.44,0.0,0.0,0.41,0.0,0.0,0.0,0.06
10.1038/ncomms2764,0.0,3.39,0.0,1.9,0.0,0.0,10.65,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,1.03,0.88,0.0,0.0,0.0,0.0,1.83,0.0,1.63,0.0,0.0,0.0,0.0,3.65,0.0,0.0,0.0,1.76,1.98,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.06
10.1038/nature12801,0.0,0.0,0.0,0.0,1.9,1.52,1.52,3.39,0.0,1.76,3.74,3.52,0.0,0.0,0.0,1.33,0.0,0.88,0.0,0.0,1.6,0.0,0.0,0.0,0.0,1.76,0.0,2.07,1.37,0.0,0.0,0.0,1.71,3.52,0.0,2.07,0.0,2.07,0.18,0.0,0.0,0.0,4.05,0.0,0.0,0.0,0.06
10.1038/nature11821,2.07,10.16,3.96,0.0,0.0,1.52,1.52,0.0,0.0,1.76,0.0,0.0,0.0,2.07,0.0,0.0,1.03,0.0,2.42,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,1.83,0.0,0.0,2.56,1.76,0.0,0.0,0.0,4.14,0.18,0.0,0.0,0.0,1.62,0.0,1.69,0.0,0.06
