DOI,gate,error,code,state,fidelity,ion,noise,measurement,spin,photon,interaction,entanglement,field,trap,quantum computer,circuit,phase,fault,control,algorithm,information,protocol,scheme,laser,frequency,dynamic,quantum computing,transition,mode,hardware,simulation,number,crosstalk,crystal,detection,optimization,device,architecture,quantum processor,platform,trapped ion,parameter,rate,scale,array,qudit,datum
10.1103/PhysRevA.102.022412,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,2.68
10.1103/PhysRevA.102.022426,2.58,5.69,0.0,0.62,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,0.0,0.0,9.89,0.0,0.0,0.0,1.82,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1007/s00340-019-7366-x,0.0,0.95,0.0,0.0,0.0,0.0,16.01,0.0,0.0,0.0,0.0,0.0,6.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,3.25,0.0,0.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevApplied.13.024022,5.8,5.69,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,5.12,0.0,1.61,0.0,0.0,0.0,1.67,1.46,1.63,0.0,1.39,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.88,0.0,0.0,0.0,0.0,0.0
10.1038/s41586-020-2823-6,1.93,0.95,0.0,1.24,2.99,1.78,1.78,0.0,0.0,0.0,0.0,1.64,0.0,4.97,0.0,0.0,0.0,0.0,1.61,0.0,1.44,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.0,1.82,0.0,0.0,0.0,1.96,3.22,0.0,0.0,0.0
10.1038/s41467-021-24693-6,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,3.79,1.88,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,0.0,0.0,0.0,0.0,1.98,2.05,0.0,1.53,0.48,0.0,0.0,0.0,0.0,6.74,0.0
10.1063/5.0059966,0.64,0.0,0.0,0.62,1.0,0.71,0.0,0.0,0.0,9.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0
10.1063/5.0073136,3.22,0.0,0.0,0.62,0.0,0.71,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,4.39,1.63,0.0,0.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.127.143201,0.0,0.0,0.0,0.62,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,1.39,0.0,1.92,0.0,0.0,0.0,0.0,7.42,0.0,0.0,0.0,0.0,0.0,1.53,0.95,0.0,0.0,0.0,0.0,0.0,0.0
10.1364/PRJ.434217,1.29,0.0,0.0,0.62,0.0,0.0,0.0,1.46,1.9,1.88,0.0,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,0.0,0.0,0.0,0.0,0.48,0.0,1.96,0.0,0.0,0.0,0.0
