DOI,Institutions
10.1103/PhysRevB.99.174416,"Univ Palermo,Ist Nazl Fis Nucl,St Kliment Ohridski Univ Sofia"
10.1038/s41586-022-04821-y,"Simon Fraser Univ,Photonic Inc,Univ Montreal"
10.1103/PRXQuantum.4.020345,"Quantum Mot,Univ Oxford"
10.1364/OL.460836,"Purdue Univ,Northeast Normal Univ"
10.1126/sciadv.aba3442,"UNSW Sydney,HRL Labs LLC,Keio Univ,Univ Melbourne"
10.1103/PhysRevB.81.045304,"Santa Clara Univ,SUNY Buffalo"
10.1103/PhysRevB.101.195438,"Uppsala Univ,Univ Konstanz"
10.1038/s41565-019-0426-x,"RIKEN,Slovak Acad Sci,Univ Tokyo,PRESTO,Ruhr Univ Bochum,Univ Basel,Univ Paris Diderot,Tohoku Univ"
10.1021/acs.jpclett.0c00193,"Univ Florida,Ctr Mol Magnet Quantum Mat,Univ Connecticut,Florida State Univ"
10.1103/PhysRevB.81.085313,"Univ Maryland,Polish Acad Sci,SUNY Buffalo"
10.1103/PhysRevA.85.052125,"Univ Guadalajara,Los Alamos Natl Lab"
10.1103/PhysRevApplied.19.044078,"Delft Univ Technol,QuTech & Netherlands Org Appl Sci Res TNO"
10.1038/s41467-022-33453-z,"RIKEN Ctr Emergent Matter Sci CEMS,RIKEN Ctr Quantum Comp RQC,Delft Univ Technol,Netherlands Organizat Appl Sci Res TNO"
10.1103/PhysRevB.105.024507,"Harvard Univ,Univ Calif Berkeley,Lawrence Berkeley Natl Lab,Swiss Fed Inst Technol"
10.1103/PhysRevLett.107.030506,"Harvard Univ,Delft Univ Technol,Univ Calif Santa Barbara"
10.1140/epjqt/s40507-023-00199-6,"Univ Basel,Univ Twente"
10.1103/PhysRevB.94.205421,"Lab Phys Sci,Univ Maryland,NIST"
10.1038/s41534-023-00716-6,"Inst Basic Sci IBS,Ewha Womans Univ,Univ Tokyo,Univ Paris Saclay,Univ Oxford"
10.1038/srep23169,"SUNY Buffalo,NIST,Univ Maryland"
10.1103/PRXQuantum.4.030303,"Delft Univ Technol,QuTech,Netherlands Org Appl Sci Res TNO"
10.1038/npjqi.2015.12,"Univ Oxford,Univ Manchester,Ecole Polytech Fed Lausanne,Ctr Adv Electron Spin Resonance"
10.1134/S0021364010120131,"Natl Acad Sci Belarus,Univ Szczecin"
10.1021/acs.nanolett.9b03847,"RIKEN,Tokyo Inst Technol"
10.1126/science.abf0345,"Yale Univ,QuTech,Delft Univ Technol,Univ Politecn Cartagena,Univ Autanoma Madrid,Univ Copenhagen,Univ Autonoma Madrid,Chalmers Univ Technol,MIT"
10.1103/PhysRevA.98.012304,"Univ Crete,FORTH"
